"class","Kmed","MSS","Kmed_sq","MSS_sq"
1,1,"n.a.",1,"n.a."
1,2,"n.a.",2,"n.a."
1,3,"n.a.",3,"n.a."
1,1,"n.a.",1,"n.a."
1,3,"n.a.",3,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,3,"n.a.",3,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,2,"n.a.",2,"n.a."
1,3,"n.a.",3,"n.a."
1,1,"n.a.",1,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,3,"n.a.",3,"n.a."
1,2,"n.a.",2,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,2,"n.a.",2,"n.a."
1,1,"n.a.",1,"n.a."
1,2,"n.a.",2,"n.a."
1,1,"n.a.",1,"n.a."
1,3,"n.a.",3,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,3,"n.a.",3,"n.a."
1,1,"n.a.",1,"n.a."
1,3,"n.a.",3,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,1,"n.a.",1,"n.a."
1,3,"n.a.",3,"n.a."
1,1,"n.a.",1,"n.a."
2,2,"n.a.",2,"n.a."
2,4,"n.a.",4,"n.a."
2,4,"n.a.",4,"n.a."
2,2,"n.a.",2,"n.a."
2,2,"n.a.",2,"n.a."
2,4,"n.a.",4,"n.a."
2,2,"n.a.",2,"n.a."
2,2,"n.a.",2,"n.a."
2,2,"n.a.",2,"n.a."
2,3,"n.a.",3,"n.a."
2,2,"n.a.",2,"n.a."
2,4,"n.a.",4,"n.a."
2,2,"n.a.",2,"n.a."
2,2,"n.a.",2,"n.a."
2,3,"n.a.",3,"n.a."
2,2,"n.a.",2,"n.a."
2,2,"n.a.",2,"n.a."
2,2,"n.a.",2,"n.a."
2,4,"n.a.",4,"n.a."
2,2,"n.a.",2,"n.a."
2,2,"n.a.",2,"n.a."
2,2,"n.a.",2,"n.a."
2,2,"n.a.",2,"n.a."
2,4,"n.a.",4,"n.a."
2,5,"n.a.",5,"n.a."
2,2,"n.a.",2,"n.a."
2,2,"n.a.",2,"n.a."
2,4,"n.a.",4,"n.a."
2,4,"n.a.",4,"n.a."
2,4,"n.a.",4,"n.a."
2,4,"n.a.",4,"n.a."
2,4,"n.a.",4,"n.a."
