"class","Kmed","MSS","Kmed_sq","MSS_sq"
1,1,1,1,"n.a."
1,2,1,2,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,2,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,2,2,2,"n.a."
1,2,1,2,"n.a."
1,2,1,2,"n.a."
1,2,1,2,"n.a."
1,1,2,1,"n.a."
1,1,1,1,"n.a."
1,2,1,2,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,2,1,2,"n.a."
1,2,1,2,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,2,1,2,"n.a."
1,1,1,1,"n.a."
1,2,2,2,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
1,1,1,1,"n.a."
2,2,3,2,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,2,3,2,"n.a."
2,2,2,2,"n.a."
2,3,3,3,"n.a."
2,2,2,2,"n.a."
2,2,2,2,"n.a."
2,2,3,2,"n.a."
2,3,3,3,"n.a."
2,2,2,2,"n.a."
2,3,3,3,"n.a."
2,2,2,2,"n.a."
2,2,3,2,"n.a."
2,1,2,1,"n.a."
2,2,2,2,"n.a."
2,2,3,2,"n.a."
2,2,3,2,"n.a."
2,3,3,3,"n.a."
2,2,2,2,"n.a."
2,2,2,2,"n.a."
2,2,3,2,"n.a."
2,2,3,2,"n.a."
2,3,3,3,"n.a."
2,4,4,4,"n.a."
2,2,2,2,"n.a."
2,2,3,2,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,2,2,2,"n.a."
2,2,2,2,"n.a."
2,1,2,1,"n.a."
2,3,2,3,"n.a."
2,2,3,2,"n.a."
2,2,2,2,"n.a."
2,2,2,2,"n.a."
2,2,3,2,"n.a."
2,2,3,2,"n.a."
2,3,2,3,"n.a."
2,3,3,3,"n.a."
2,2,3,2,"n.a."
2,3,3,3,"n.a."
2,2,3,2,"n.a."
2,3,3,3,"n.a."
2,2,3,2,"n.a."
2,2,2,2,"n.a."
2,2,2,2,"n.a."
2,2,3,2,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,2,3,2,"n.a."
2,2,3,2,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,2,2,2,"n.a."
2,3,2,3,"n.a."
2,3,2,3,"n.a."
2,2,2,2,"n.a."
2,2,2,2,"n.a."
2,2,3,2,"n.a."
2,2,2,2,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
2,3,3,3,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,3,4,3,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
3,4,4,4,"n.a."
