"class","Kmed","MSS","Kmed_sq","MSS_sq"
"Iris-setosa",1,1,1,1
"Iris-setosa",1,2,1,2
"Iris-setosa",1,2,1,2
"Iris-virginica",1,2,1,2
"Iris-setosa",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-versicolor",1,2,1,2
"Iris-versicolor",1,1,1,2
"Iris-setosa",1,2,1,2
"Iris-virginica",1,2,1,2
"Iris-virginica",1,1,1,1
"Iris-virginica",1,2,1,2
"Iris-versicolor",1,2,1,2
"Iris-virginica",1,2,1,2
"Iris-versicolor",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-virginica",1,2,1,2
"Iris-versicolor",1,2,1,2
"Iris-versicolor",1,2,1,2
"Iris-setosa",1,1,1,2
"Iris-versicolor",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-setosa",1,2,1,2
"Iris-setosa",1,2,1,2
"Iris-setosa",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-virginica",1,2,1,2
"Iris-versicolor",1,2,1,2
"Iris-virginica",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-versicolor",1,2,1,2
"Iris-virginica",1,1,1,2
"Iris-setosa",1,1,1,1
"Iris-versicolor",2,2,2,2
"Iris-setosa",1,2,1,2
"Iris-virginica",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-versicolor",1,2,1,2
"Iris-setosa",1,1,1,1
"Iris-setosa",1,2,1,2
"Iris-versicolor",1,1,1,1
"Iris-virginica",1,2,1,2
"Iris-virginica",3,3,3,3
"Iris-virginica",4,3,4,3
"Iris-versicolor",3,3,3,3
"Iris-setosa",2,4,2,4
"Iris-setosa",4,4,4,4
"Iris-setosa",4,4,4,4
"Iris-versicolor",4,3,4,3
"Iris-versicolor",2,4,2,4
"Iris-virginica",4,3,4,4
"Iris-virginica",2,4,2,4
"Iris-versicolor",2,4,2,4
"Iris-virginica",4,4,4,4
"Iris-setosa",2,4,2,4
"Iris-virginica",4,4,4,4
"Iris-virginica",4,4,4,4
"Iris-virginica",4,3,4,3
"Iris-versicolor",4,4,4,4
"Iris-setosa",2,4,2,4
"Iris-setosa",2,4,2,4
"Iris-setosa",2,4,2,4
"Iris-versicolor",4,3,4,3
"Iris-versicolor",4,4,4,4
"Iris-setosa",4,4,4,4
"Iris-virginica",4,4,4,4
"Iris-versicolor",4,4,4,4
"Iris-virginica",4,3,4,3
"Iris-versicolor",4,3,4,3
"Iris-versicolor",3,3,3,3
"Iris-setosa",4,4,4,4
"Iris-versicolor",2,4,2,4
"Iris-virginica",2,4,2,4
"Iris-virginica",2,4,2,4
"Iris-virginica",2,4,4,4
"Iris-setosa",4,4,4,4
"Iris-setosa",4,4,4,4
"Iris-setosa",4,3,4,3
"Iris-virginica",3,3,3,3
"Iris-setosa",2,4,2,4
"Iris-versicolor",4,4,4,4
"Iris-versicolor",2,4,2,4
"Iris-virginica",2,4,2,4
"Iris-setosa",4,4,4,4
"Iris-setosa",2,4,2,4
"Iris-virginica",2,4,2,4
"Iris-virginica",2,4,4,4
"Iris-versicolor",4,4,4,4
"Iris-versicolor",4,4,4,4
"Iris-setosa",4,4,4,4
"Iris-setosa",2,4,2,4
"Iris-versicolor",4,4,4,4
"Iris-virginica",3,3,3,3
"Iris-versicolor",4,4,4,4
"Iris-setosa",3,3,3,3
"Iris-versicolor",4,3,4,3
"Iris-virginica",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-virginica",2,4,2,4
"Iris-setosa",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-versicolor",4,3,4,3
"Iris-virginica",3,3,3,3
"Iris-versicolor",4,4,4,4
"Iris-setosa",4,4,4,4
"Iris-virginica",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-versicolor",2,4,2,4
"Iris-setosa",3,3,3,3
"Iris-setosa",4,4,4,4
"Iris-setosa",3,3,3,3
"Iris-setosa",4,4,4,4
"Iris-setosa",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-versicolor",4,4,4,4
"Iris-versicolor",4,3,4,3
"Iris-virginica",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-virginica",4,4,4,4
"Iris-versicolor",4,4,4,4
"Iris-virginica",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-setosa",4,4,4,4
"Iris-setosa",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-virginica",4,4,4,4
"Iris-virginica",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-versicolor",4,4,4,4
"Iris-virginica",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-versicolor",4,4,4,4
