,true_label,2,3,4,5
0,1,0,1,1,1
1,1,1,2,0,2
2,1,1,2,0,2
3,1,0,2,1,1
4,1,0,1,1,1
5,1,0,2,1,1
6,1,1,2,0,0
7,1,0,1,1,1
8,1,1,2,0,0
9,1,1,2,0,0
10,1,0,2,0,2
11,1,1,2,0,0
12,1,1,0,3,3
13,1,1,0,3,0
14,1,1,2,0,2
15,1,0,2,1,1
16,1,0,1,1,1
17,1,0,1,1,1
18,1,0,2,1,2
19,1,0,1,1,1
20,1,0,1,1,1
21,1,1,2,0,2
22,1,1,2,0,2
23,1,1,2,0,0
24,1,1,2,0,0
25,1,0,1,1,1
26,1,1,0,0,0
27,1,1,0,0,0
28,1,0,2,0,2
29,1,1,2,0,0
30,1,1,2,0,2
31,1,0,2,0,2
32,1,1,2,0,2
33,1,0,1,2,4
34,1,0,2,1,2
35,1,1,2,0,2
36,1,0,2,1,2
37,1,1,2,0,0
38,1,1,2,0,0
39,1,0,1,1,1
40,1,0,1,1,1
41,1,1,0,3,3
42,1,1,2,0,2
43,1,1,2,0,2
44,1,0,2,0,2
45,1,0,2,1,1
46,1,1,2,0,2
47,1,1,2,0,2
48,1,1,2,0,2
49,1,0,2,1,2
50,1,1,0,0,0
51,1,1,0,0,0
52,1,0,2,1,1
53,1,0,1,1,1
54,1,0,1,1,1
55,1,0,1,1,1
56,1,0,1,1,1
57,1,1,2,0,2
58,1,0,2,1,2
59,2,1,0,3,3
60,2,1,2,0,2
61,2,1,2,0,2
62,2,1,0,0,0
63,2,1,0,3,3
64,2,1,2,0,2
65,2,1,2,0,0
66,2,1,0,3,3
67,2,1,0,3,3
68,2,0,2,1,2
69,2,0,1,2,4
70,2,1,2,0,2
71,2,1,0,3,3
72,2,1,0,3,3
73,2,0,1,2,4
74,2,1,2,0,2
75,2,1,2,0,0
76,2,1,0,3,3
77,2,0,2,1,1
78,2,0,1,2,4
79,2,1,2,0,2
80,2,1,0,3,3
81,2,1,0,3,3
82,2,1,0,3,3
83,2,1,0,3,3
84,2,1,0,0,0
85,2,1,2,0,0
86,2,1,0,3,3
87,2,1,0,3,3
88,2,1,0,3,3
89,2,1,0,3,3
90,2,1,0,3,3
91,2,1,0,3,3
92,2,1,0,3,3
93,2,1,0,3,3
94,2,1,2,0,0
95,2,0,1,2,4
96,2,0,1,2,4
97,2,1,0,3,3
98,2,1,0,3,3
99,2,1,0,3,3
100,2,1,2,0,0
101,2,1,0,3,3
102,2,1,2,0,0
103,2,1,0,3,3
104,2,1,0,3,3
105,2,1,0,3,3
106,2,1,0,3,3
107,2,1,0,3,3
108,2,1,0,3,0
109,2,1,0,0,0
110,2,0,2,0,2
111,2,1,0,3,3
112,2,1,2,0,2
113,2,1,0,3,3
114,2,1,0,3,3
115,2,1,0,3,3
116,2,1,0,3,3
117,2,0,2,1,2
118,2,1,0,3,3
119,2,1,0,3,3
120,2,1,2,0,0
121,2,0,1,1,1
122,2,1,2,0,2
123,2,1,0,3,3
124,2,1,0,3,3
125,2,1,0,3,3
126,2,1,0,3,3
127,2,1,0,3,0
128,2,1,0,3,3
129,2,1,0,3,3
130,3,0,1,1,1
131,3,1,2,0,2
132,3,1,2,0,0
133,3,0,2,0,2
134,3,1,0,3,3
135,3,1,0,0,0
136,3,1,0,3,3
137,3,1,2,0,0
138,3,1,0,3,3
139,3,1,2,0,2
140,3,1,2,0,0
141,3,1,0,3,3
142,3,1,2,0,0
143,3,1,0,3,0
144,3,0,2,1,1
145,3,1,2,0,2
146,3,1,0,3,3
147,3,1,0,3,3
148,3,1,0,3,0
149,3,0,2,1,1
150,3,0,1,1,1
151,3,0,2,1,1
152,3,0,1,1,1
153,3,1,2,0,0
154,3,1,2,0,2
155,3,1,0,0,0
156,3,1,0,3,3
157,3,1,2,0,0
158,3,1,2,0,0
159,3,1,0,3,3
160,3,1,0,3,3
161,3,0,2,0,2
162,3,0,2,0,2
163,3,0,2,0,2
164,3,1,0,3,0
165,3,1,0,3,3
166,3,0,2,1,1
167,3,1,0,3,3
168,3,0,2,0,2
169,3,0,2,1,1
170,3,1,2,0,0
171,3,1,0,3,3
172,3,1,0,3,0
173,3,1,2,0,0
174,3,1,2,0,2
175,3,0,1,1,1
176,3,0,1,1,1
177,3,1,2,0,0
