,true_label,2,3,4,5
0,3,1,1,3,1
1,3,1,1,3,1
2,3,1,1,3,1
3,3,1,1,3,1
4,3,1,1,3,1
5,3,1,1,3,1
6,3,1,1,3,1
7,3,1,1,3,1
8,3,1,1,3,1
9,3,1,1,0,1
10,3,1,1,0,3
11,3,1,1,0,3
12,3,1,1,0,3
13,3,1,1,0,3
14,3,0,1,0,3
15,3,0,1,0,3
16,3,0,1,0,3
17,3,0,1,0,3
18,3,0,1,0,3
19,3,0,1,0,3
20,3,0,1,0,3
21,3,0,1,0,3
22,3,0,1,0,3
23,3,0,1,0,3
24,3,0,1,0,3
25,3,0,2,0,3
26,3,0,2,0,3
27,3,0,2,0,3
28,3,0,2,0,3
29,3,0,2,0,3
30,3,0,2,0,0
31,3,0,2,0,0
32,3,0,2,1,0
33,3,0,2,1,0
34,3,0,2,1,0
35,3,0,2,1,0
36,3,0,2,1,0
37,3,0,2,1,0
38,3,0,2,1,0
39,3,0,2,1,0
40,3,0,2,1,0
41,3,0,2,1,0
42,3,0,2,1,0
43,3,0,2,1,0
44,3,0,2,1,0
45,3,0,2,1,0
46,3,0,2,1,0
47,3,0,2,1,0
48,3,0,2,1,0
49,3,0,2,1,2
50,3,0,2,1,2
51,3,0,2,1,2
52,3,0,2,1,2
53,3,0,2,1,2
54,3,0,2,1,2
55,3,0,2,1,2
56,3,0,2,1,2
57,3,0,2,1,2
58,3,0,2,1,2
59,3,0,2,2,2
60,3,0,0,2,2
61,3,0,0,2,2
62,3,0,0,2,2
63,3,0,0,2,2
64,3,0,0,2,2
65,3,1,0,2,2
66,3,1,0,2,2
67,3,1,0,2,2
68,3,1,0,2,2
69,3,1,0,2,4
70,3,1,0,2,4
71,3,1,0,2,4
72,3,1,0,2,4
73,3,1,0,2,4
74,3,1,0,2,4
75,3,1,0,2,4
76,3,1,0,2,4
77,3,1,0,2,4
78,3,1,0,2,4
79,3,1,0,2,4
80,3,1,0,2,4
81,3,1,0,2,4
82,3,1,0,2,4
83,3,1,0,2,4
84,3,1,0,3,4
85,3,1,0,3,1
86,3,1,0,3,1
87,3,1,0,3,1
88,3,1,0,3,1
89,3,1,0,3,1
90,3,1,0,3,1
91,3,1,0,3,1
92,3,1,1,3,1
93,3,1,1,3,1
94,3,1,1,3,1
95,3,1,1,3,1
96,3,1,1,3,1
97,3,1,1,3,1
98,3,1,1,3,1
99,3,1,1,3,1
100,3,1,1,3,1
101,3,1,1,3,1
102,3,1,1,3,1
103,3,1,1,3,1
104,3,1,1,3,1
105,3,1,1,3,1
106,1,1,0,2,4
107,1,1,0,2,4
108,1,1,0,2,4
109,1,1,0,2,4
110,1,1,0,2,4
111,1,1,0,2,4
112,1,1,0,2,4
113,1,1,0,2,4
114,1,1,0,2,4
115,1,1,0,2,4
116,1,1,0,2,4
117,1,1,0,2,4
118,1,1,0,2,4
119,1,1,0,2,4
120,1,1,0,2,4
121,1,1,0,2,4
122,1,1,0,2,4
123,1,1,0,3,4
124,1,1,0,3,4
125,1,1,0,3,4
126,1,1,0,3,4
127,1,1,0,3,1
128,1,1,0,3,1
129,1,1,0,3,1
130,1,1,0,3,1
131,1,1,0,3,1
132,1,1,1,3,1
133,1,1,1,3,1
134,1,1,1,3,1
135,1,1,1,3,1
136,1,1,1,3,1
137,1,1,1,3,1
138,1,1,1,3,1
139,1,1,1,3,1
140,1,1,1,3,1
141,1,1,1,3,1
142,1,1,1,3,1
143,1,1,1,3,1
144,1,1,1,3,1
145,1,1,1,3,1
146,1,1,1,3,1
147,1,1,1,3,1
148,1,1,1,0,1
149,1,1,1,0,3
150,1,1,1,0,3
151,1,1,1,0,3
152,1,1,1,0,3
153,1,1,1,0,3
154,1,0,1,0,3
155,1,0,1,0,3
156,1,0,1,0,3
157,1,0,1,0,3
158,1,0,1,0,3
159,1,0,1,0,3
160,1,0,1,0,3
161,1,0,1,0,3
162,1,0,1,0,3
163,1,0,1,0,3
164,1,0,1,0,3
165,1,0,2,0,3
166,1,0,2,0,3
167,1,0,2,0,3
168,1,0,2,0,3
169,1,0,2,0,3
170,1,0,2,0,3
171,1,0,2,0,0
172,1,0,2,0,0
173,1,0,2,1,0
174,1,0,2,1,0
175,1,0,2,1,0
176,1,0,2,1,0
177,1,0,2,1,0
178,1,0,2,1,0
179,1,0,2,1,0
180,1,0,2,1,0
181,1,0,2,1,0
182,1,0,2,1,0
183,1,0,2,1,0
184,1,0,2,1,0
185,1,0,2,1,2
186,1,0,2,1,2
187,1,0,2,1,2
188,1,0,2,1,2
189,1,0,2,1,2
190,1,0,2,1,2
191,1,0,2,1,2
192,1,0,2,1,2
193,1,0,2,1,2
194,1,0,2,1,2
195,1,0,2,1,2
196,1,0,2,1,2
197,1,0,2,1,2
198,1,0,2,2,2
199,1,0,2,2,2
200,1,0,0,2,2
201,1,0,0,2,2
202,1,0,0,2,2
203,1,0,0,2,2
204,1,0,0,2,2
205,1,0,0,2,2
206,1,1,0,2,2
207,2,0,2,1,0
208,2,0,2,1,0
209,2,0,2,1,0
210,2,0,2,1,0
211,2,0,2,1,0
212,2,0,2,1,0
213,2,0,2,1,0
214,2,0,2,1,0
215,2,0,2,1,0
216,2,0,2,1,0
217,2,0,2,1,0
218,2,0,2,1,0
219,2,0,2,1,0
220,2,0,2,1,0
221,2,0,2,1,0
222,2,0,2,1,0
223,2,0,2,1,0
224,2,0,2,1,2
225,2,0,2,1,2
226,2,0,2,1,2
227,2,0,2,1,2
228,2,0,2,1,2
229,2,0,2,1,2
230,2,0,2,1,2
231,2,0,2,1,2
232,2,0,2,2,2
233,2,0,0,2,2
234,2,0,0,2,2
235,2,0,0,2,2
236,2,0,0,2,2
237,2,0,0,2,2
238,2,1,0,2,2
239,2,1,0,2,2
240,2,1,0,2,2
241,2,1,0,2,4
242,2,1,0,2,4
243,2,1,0,2,4
244,2,1,0,2,4
245,2,1,0,2,4
246,2,1,0,2,4
247,2,1,0,2,4
248,2,1,0,2,4
249,2,1,0,2,4
250,2,1,0,2,4
251,2,1,0,2,4
252,2,1,0,2,4
253,2,1,0,2,4
254,2,1,0,2,4
255,2,1,0,2,4
256,2,1,0,2,4
257,2,1,0,2,4
258,2,1,0,3,4
259,2,1,0,3,4
260,2,1,0,3,4
261,2,1,0,3,1
262,2,1,0,3,1
263,2,1,0,3,1
264,2,1,0,3,1
265,2,1,0,3,1
266,2,1,1,3,1
267,2,1,1,3,1
268,2,1,1,3,1
269,2,1,1,3,1
270,2,1,1,3,1
271,2,1,1,3,1
272,2,1,1,3,1
273,2,1,1,3,1
274,2,1,1,3,1
275,2,1,1,3,1
276,2,1,1,3,1
277,2,1,1,3,1
278,2,1,1,3,1
279,2,1,1,3,1
280,2,1,1,3,1
281,2,1,1,3,1
282,2,1,1,0,1
283,2,1,1,0,3
284,2,1,1,0,3
285,2,1,1,0,3
286,2,1,1,0,3
287,2,1,1,0,3
288,2,0,1,0,3
289,2,0,1,0,3
290,2,0,1,0,3
291,2,0,1,0,3
292,2,0,1,0,3
293,2,0,1,0,3
294,2,0,1,0,3
295,2,0,1,0,3
296,2,0,1,0,3
297,2,0,1,0,3
298,2,0,1,0,3
299,2,0,1,0,3
300,2,0,1,0,3
301,2,0,1,0,3
302,2,0,1,0,3
