"class","Kmed","MSS","Kmed_sq","MSS_sq"
"Iris-setosa",1,1,1,1
"Iris-setosa",2,2,2,2
"Iris-setosa",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-setosa",1,1,1,1
"Iris-versicolor",3,3,1,1
"Iris-versicolor",1,1,2,2
"Iris-versicolor",1,1,2,2
"Iris-setosa",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-virginica",3,3,1,1
"Iris-virginica",1,1,2,2
"Iris-versicolor",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-versicolor",3,3,1,1
"Iris-virginica",3,3,1,1
"Iris-setosa",3,3,1,1
"Iris-versicolor",1,1,1,1
"Iris-setosa",3,3,1,1
"Iris-virginica",3,3,1,1
"Iris-virginica",1,1,1,1
"Iris-virginica",1,3,1,1
"Iris-setosa",1,1,1,1
"Iris-virginica",1,1,2,2
"Iris-versicolor",1,1,2,2
"Iris-versicolor",2,2,2,2
"Iris-setosa",1,1,2,2
"Iris-versicolor",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-setosa",2,2,2,2
"Iris-setosa",2,2,2,2
"Iris-setosa",1,1,1,1
"Iris-versicolor",3,3,1,1
"Iris-versicolor",3,3,1,1
"Iris-virginica",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-virginica",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-versicolor",2,2,2,2
"Iris-virginica",1,1,1,2
"Iris-setosa",1,1,1,1
"Iris-versicolor",2,2,2,2
"Iris-setosa",2,2,2,2
"Iris-virginica",1,1,1,1
"Iris-setosa",3,3,1,1
"Iris-versicolor",2,2,2,2
"Iris-setosa",3,3,1,1
"Iris-setosa",2,2,2,2
"Iris-versicolor",1,3,1,1
"Iris-virginica",1,1,2,2
"Iris-virginica",4,4,3,3
"Iris-virginica",5,5,4,3
"Iris-versicolor",4,4,3,3
"Iris-setosa",6,6,5,4
"Iris-setosa",5,5,4,5
"Iris-setosa",5,5,4,5
"Iris-versicolor",5,5,4,3
"Iris-versicolor",6,6,5,4
"Iris-virginica",5,5,4,5
"Iris-virginica",6,6,5,4
"Iris-versicolor",6,6,5,4
"Iris-virginica",5,5,4,5
"Iris-setosa",6,6,5,4
"Iris-virginica",5,5,4,5
"Iris-virginica",5,5,4,5
"Iris-virginica",5,5,4,3
"Iris-versicolor",5,5,4,5
"Iris-setosa",6,6,5,4
"Iris-setosa",6,6,5,4
"Iris-setosa",6,6,5,4
"Iris-versicolor",5,5,4,3
"Iris-versicolor",5,5,4,5
"Iris-setosa",5,5,4,5
"Iris-virginica",5,5,4,5
"Iris-versicolor",5,5,4,5
"Iris-virginica",5,5,4,5
"Iris-versicolor",5,5,4,5
"Iris-versicolor",4,4,3,3
"Iris-setosa",5,5,4,5
"Iris-versicolor",6,6,5,4
"Iris-virginica",6,6,5,4
"Iris-virginica",6,6,5,4
"Iris-virginica",6,6,5,4
"Iris-setosa",5,5,4,5
"Iris-setosa",5,5,4,5
"Iris-setosa",5,5,4,3
"Iris-virginica",4,5,3,3
"Iris-setosa",6,6,5,4
"Iris-versicolor",5,5,4,5
"Iris-versicolor",6,6,5,4
"Iris-virginica",6,6,5,4
"Iris-setosa",5,5,4,5
"Iris-setosa",6,6,5,4
"Iris-virginica",6,6,5,4
"Iris-virginica",6,6,5,4
"Iris-versicolor",5,5,4,5
"Iris-versicolor",5,5,4,5
"Iris-setosa",5,5,4,5
"Iris-setosa",6,6,5,4
"Iris-versicolor",5,5,4,5
"Iris-virginica",4,4,3,3
"Iris-versicolor",5,5,4,5
"Iris-setosa",4,4,3,6
"Iris-versicolor",5,5,3,5
"Iris-virginica",4,4,3,3
"Iris-virginica",4,4,3,6
"Iris-virginica",6,6,5,4
"Iris-setosa",4,4,3,6
"Iris-setosa",4,5,3,5
"Iris-setosa",4,4,6,6
"Iris-setosa",4,4,3,3
"Iris-versicolor",5,5,3,5
"Iris-virginica",4,4,3,3
"Iris-versicolor",5,5,5,5
"Iris-setosa",5,5,4,5
"Iris-virginica",4,4,3,3
"Iris-versicolor",4,4,3,3
"Iris-versicolor",4,4,6,6
"Iris-virginica",4,4,3,6
"Iris-versicolor",6,6,5,4
"Iris-setosa",4,4,3,3
"Iris-setosa",5,5,4,5
"Iris-setosa",4,4,3,6
"Iris-setosa",5,5,4,5
"Iris-setosa",4,4,3,3
"Iris-virginica",4,4,3,6
"Iris-versicolor",5,5,4,5
"Iris-versicolor",5,5,4,5
"Iris-virginica",4,4,3,3
"Iris-virginica",4,4,3,6
"Iris-versicolor",4,4,3,6
"Iris-virginica",4,4,6,6
"Iris-versicolor",4,4,3,3
"Iris-virginica",5,5,4,5
"Iris-versicolor",5,5,4,5
"Iris-virginica",4,4,3,6
"Iris-versicolor",4,4,3,3
"Iris-setosa",4,4,3,3
"Iris-setosa",5,5,4,5
"Iris-setosa",4,4,3,3
"Iris-versicolor",4,4,3,3
"Iris-setosa",4,4,3,3
"Iris-virginica",5,5,4,5
"Iris-virginica",4,4,3,3
"Iris-versicolor",4,4,3,3
"Iris-virginica",4,4,3,3
"Iris-versicolor",5,5,4,5
"Iris-virginica",4,4,3,3
"Iris-setosa",4,4,3,3
"Iris-versicolor",5,5,4,5
