"","AMI","NMI","FMI","ARI"
"Kmed_recoded_Wine_cl2.txt",0.364189555402886,0.364189555402886,0.63691534490128,0.357525893768582
"MSS_recoded_Wine_cl2.txt",0,0,0.581349611932748,0
"Kmed_sq_recoded_Wine_cl2.txt",0.364189555402886,0.364189555402886,0.63691534490128,0.357525893768582
"MSS_sq_recoded_Wine_cl2.txt",0.391683894331498,0.391683894331498,0.637868240252371,0.374314492621369
"Kmed_recoded_Wine_cl3.txt",0.781771021168022,0.781771021168022,0.828940296421485,0.741136543216211
"MSS_recoded_Wine_cl3.txt",0.889742981130038,0.889742981130038,0.943469292804427,0.914879596066953
"Kmed_sq_recoded_Wine_cl3.txt",0.75639920579754,0.75639920579754,0.818915729197765,0.726340664575667
"MSS_sq_recoded_Wine_cl3.txt",0.872963601607873,0.872963601607873,0.931908060807531,0.897494981509321
"Kmed_recoded_Wine_cl4.txt",0.619643563201987,0.619643563201987,0.746024189393031,0.631664454302578
"MSS_recoded_Wine_cl4.txt",0.729658244049119,0.729658244049119,0.841093241322665,0.764563500442059
"Kmed_sq_recoded_Wine_cl4.txt",0.619643563201987,0.619643563201987,0.746024189393031,0.631664454302578
"MSS_sq_recoded_Wine_cl4.txt",0,0,0,0
"Kmed_recoded_Wine_cl5.txt",0.529580306202941,0.529580306202941,0.676948931535519,0.53869901226365
"MSS_recoded_Wine_cl5.txt",0,0,0.581349611932748,0
"Kmed_sq_recoded_Wine_cl5.txt",0.541076376355885,0.541076376355885,0.685657893014028,0.55000581663668
"MSS_sq_recoded_Wine_cl5.txt",0,0,0,0
"Kmed_recoded_Wine_cl6.txt",0.468312245770277,0.468312245770277,0.599903836395374,0.439365185456163
"MSS_recoded_Wine_cl6.txt",0,0,0.581349611932748,0
"Kmed_sq_recoded_Wine_cl6.txt",0.468312245770277,0.468312245770277,0.599903836395374,0.439365185456163
"MSS_sq_recoded_Wine_cl6.txt",0,0,0,0
"Kmed_recoded_Wine_cl7.txt",0.444105884515289,0.444105884515289,0.56497092395129,0.395261145212463
"MSS_recoded_Wine_cl7.txt",0,0,0.581349611932748,0
"Kmed_sq_recoded_Wine_cl7.txt",0.446977036985911,0.446977036985911,0.570608103176365,0.401785135549461
"MSS_sq_recoded_Wine_cl7.txt",0,0,0,0
"exact_clustering_class",1,1,1,1
"exact_clustering_2",0.33419851662197,0.33419851662197,0.65905102062341,0.369407538857454
"exact_clustering_3",0.428701413894486,0.428701413894486,0.583537021894498,0.371113718230848
"exact_clustering_4",0.355793178311536,0.355793178311536,0.520734324532342,0.303442531578347
"exact_clustering_5",0.351292227983938,0.351292227983938,0.508707962247546,0.311588010331763
